1 t,	@vanessaliang sorry
57 t,	@reeses2mommy  well there's a plus!    Court had to work mad early today...   we were awake at 5, she left by 6:10 long days  beach soon?
58 t,	@pascalgrob I'm not feeling well either but if I tell my dad that, I won't be allowed to the beach tomorrow
59 t,	wishes she had more money to make more jewellery
60 t,	of to give letting agency the last of my pennys
61 t,	Has just gone and said something tht came out wrong woops
62 t,	where is he? hmmmm he didnt even reply to me this morning  oh well stayed up til 12 speaking to him last night
63 t,	@pprlisa Oh right, no show tonight for you.  Have an awesome time in Vegas! Do some November scouting, okay?
64 t,	Goodmorning! i dont want to go to work today  but at least its friday which means 4 day weekend to spend with my love!!!!
65 t,	Me debo retractar..no tiene soporte tweetpic
66 t,	No twitter access where I'm going  No internet access either
67 t,	I got million mental and physical things to do  would 24 hours be enough?
68 t,	only just realised that her last exam isn't the 11th... got a 2 hour written music exam on the 20th
69 t,	movie is slow ~ sad, awww. Weird seeing Adam Sandler depressed!  Re Twin Towers; gawd I remember that day!! 1st cstmrs were from USA
70 t,	My puppy went to surgery and i almost cried
71 t,	Sun...where did you go?!
72 t,	Failed it people the gods of driving aren't with me  next time
73 t,	Damn I slept 3 hours and 30 minutes! Oh man def not cool.
74 t,	@iLoveMyE71 I'm hungry. Want to eat la
75 t,	I just realized i wasted my 300th tweet
76 t,	stuck in traffic.
77 t,	Forgot to rent the movie..so nothing to watch on the weekend.
78 t,	Sitting in a bid-writing workshop, completely out of my depth
79 t,	hates reduit!!!!
80 t,	for some reason????searching for people on twitter comes up with no results  hope its not server probs!
81 t,	Slowest sandwich bar EVER. And it's in-house
82 t,	no more carbs after midnite
83 t,	Good Morning!! I just woke up. I have a terrible headache
84 t,	@nuttyhazelnut omg there was leftovers? thankfully i wasnt there ! i wouldve ate it all!
85 t,	was almost in a wreck and mcdonalds was too crowded for me to stop, so now i'm shaking AND hungry
86 t,	@ashleigh92 aww baby  wheres your umbrelly? haha, i love you xxx
87 t,	woke up to early
88 t,	The rain still persists here in Gainesville, FL. Hope not too many vacations to central FL this week got ruined by this weather
89 t,	For god's sake, this is not Karunanidhi's govt! http://tinyurl.com/qvs6k9 (via @shankargan)  ????????? ???? ????? ???????????. ??????????
90 t,	Triffic ...Archie (dog) is drenched and comes to say hello. Now we're both wet
91 t,	@awollenberg Oh that's a nightmare  Am surprised at FireFox, although have had couple of minor probs w/ it lately myself.
92 t,	@BattleshipMatt I can't remember being on twitter  I wondered why my i suddenly started getting followed by my drunk tweets
93 t,	midnight last night - money goes into my account.... midday today money goes out of my account
94 t,	@SaveOurShoes me too
95 t,	next monday = exam week
96 t,	@synchronise my room is the only one in the house that doesn't get ac very well. It is almost always hot in my room.
97 t,	@davidmassacre insane played all at sea. i miss the singalong here witchu
98 t,	@BizzyBiz516 call me! we kept missing one another yesterday, No i wasnt with Mr.Biggz! lol,hes in Miami with Fab
99 t,	Omgggg x there is nothing to do x someone follow me x no one to talk to x
100 t,	@Kat_La Cookies are good, but mine always get stolen
101 t,	if anyone's free next week, going to be part of creative sydney's opening. Shame nobody can just writing &quot;communitychannel&quot; properly
102 t,	Back to the hospital
103 t,	At school, chem test is first period
104 t,	@wisekaren Oh no! Poor thing. Lousy weather for it, too. And on a Friday.
105 t,	I think Im coming down with a cold... during my 3day weekend
106 t,	Uhh, being at work right now totally sucks. I want to go back to sleep.
107 t,	Hey @kiddshow buenas mornings! Mi pelo is tangly   (kiddlive live &gt; http://ustre.am/2FUW)
108 t,	@kyle270 i left it at home today cause it was sunny earlier  haha.what you doing now?love you x
109 t,	thi xog vog cuoi roi. Te nhu chua bao h te hon. Hik. Cbi tinh than thi Nga thu 2 toi thoi  k mog avtomat nua roi
110 t,	I am revising....AGAIN!!!  internet security gefallt mir nicht so gut BOOoo lol. And then i gotta revise programmalamming  WAaaa lol.
111 t,	Lunch time just gone outside what a horrible day
112 t,	&lt;3 no more tweeting before sunday
113 t,	@mayblue85 really? awww.
114 t,	1 hour of me convincing and 5 minutes of her breaking up with me. Must've been a much more terrible boyfriend than I realized.
115 t,	Very vexed for A&amp;B twitter teacher   @mwclarkson @whereisab @jayerichards @schoolduggery
116 t,	i want to go home
117 t,	I'm not ready for it to be 90 degrees
118 t,	@tejasjulia Insomnia sucks, I hear. Den has it often. I wish I could help you out.
119 t,	@FakerParis *giggles* yeah, listening too, but my i canï¿½t sill log in at blip.fm *grrr* my pc doesnï¿½t work yet
120 t,	That was supposed to be an upside down smile.
121 t,	Trying to cheer myself up but i have no one to talk to
122 t,	my house is so cooooooold.
123 t,	@natalieismint NIccee to knoww, PE
124 t,	@bonbonfire actually, thanks for reminding me about that. i forgot that was an easy symptom to notice. ergo, my allergies are killing me.
125 t,	blï¿½ï¿½ï¿½ i have to do homework this whole weekend
126 t,	@GuySebastian  your day sucks!
127 t,	Bad news guys. Philippines has confirmed the first case of Swine Flu.
128 t,	one is eating many flapjacks. have heard they cure all ails and I need that today
129 t,	@definatalie I'm sorry  I'm so hormonal, I hated myself and I couldn't leave the house
130 t,	@yelyahwilliams hey,hayley! the movie award day come's realy fast! I wan't vot for paramore, but i just can't sign up!! i'm so MAD!
131 t,	@viaaubrey EWWW This 'hottie anna' chick was following me, and I went to her twitter, clicked on the link, Sooooo saw her nudes.
132 t,	I want a glass of wine but all my reds were opened too long ago!
133 t,	@sassela AHH our thrift stores have nothing worth buying, not unless you're a bum
134 t,	Good morning. Today is a day in which I completely wish I could sleep the whole day and skip school, but I can't.
135 t,	I'm really upset Steve Buscemi was fake  Next it'll be Jimmy Carr, Stephen Fry and Greg Wallace - maybe even me!
136 t,	Its too early for me to b awake n a fri.!
137 t,	nino hurt his paw
138 t,	@courts93    Oww courtneyyy  finee tell her seein as ur in da sme lesson okayy (: wah u do DO SOME WORK LOL
139 t,	my itunes has gone dodgyyyy
140 t,	@libraryninja Shame   so did we.  If she wins maybe you can meet her at the Awards Ceremony in November
141 t,	@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me
142 t,	i need a car holy crap
143 t,	1 hour of me apologizing &amp; reassuring; 5 minutes of her breaking up with me. Must've been a much more terrible boyfriend than I realized.
144 t,	@kirstyrawrr haha i wiish!  they should be real.
145 t,	Last day at Albion
146 t,	@BLSeverance summative meeting.  I also don't have anyone to answer my Dark Hunter questions as I'm reading and that seriously sucks.
147 t,	youtube is being stupid now
148 t,	@ChrissMari I'm glad I'm missing it. Who's he playing, Mammy? http://is.gd/CkZn
149 t,	@AMM1212 Ahhh 3 man...I will miss you.
150 t,	Rumors of an upcoming X2...I haven't even owned my X1 for 3 months
151 t,	@natalietran A friend and I were seriously talking about it, but I'm not going to be there sadly  I'm going to the Luminous concert, tho.
152 t,	whacked @topherhelper in the head while opening the car door
153 t,	Well, bags of fun I'm going to have burning this lot off tonight    http://yfrog.com/0umftj
154 t,	frozen like a popsicle and talking to ppl lol and waiting for my dinner
155 t,	@TeeBiscuit The rolls are amazing! so much better than bread! And bonus refreshers seals it! Sorry about the toe  Damn inertia!
156 t,	@vinithasaira i have seo classes on sunday
157 t,	getting ready to hit the town.. although the boy i want to see is going home
158 t,	@lizcable it's a very annoying twitter bug liz - many people are suffering from it - twitter is 'working on it' ...
159 t,	Waking up and wishing that I had just had a really bad dream last night instead of loosing family
160 t,	well.. the weather is atrocious and my feet are ice. nothing's gonna stop me from studying like hell this weekend! not even feeling sick.
161 t,	@manigh ?? ????
162 t,	i think after being home from holiday for 3 days, it's about time i unpack my suitcase
163 t,	@lesliereuben ok. i'm not gonna. you know too much!
164 t,	Just had the most disgusting milkshake, EVER. It was so thick I couldn't even swallow it  x
165 t,	Bus left, Veronnica left, Mom has no car  Would one of you like to give me a ride to school?  ...... please?.. http://twurl.nl/bsg3bz
166 t,	tired, last day of school today, its so sad!
167 t,	thanks @carltimms it's post extraction check up. still numb.
168 t,	Chilling before the joi of crappy work
169 t,	Hmm looks like the iphone is out of action for a while  Call me on work phone if you need me 07818 034392
170 t,	Geography hike today in 2nd, 3rd, and 4th... My feet are gonna hurt!!
171 t,	YUCK Fields of the goth
172 t,	@DrunkStreetHo bitch get on MSN..im bored!
173 t,	Have cycled all over Aylesbury this morning so refueling with crumpets. Evie watching Barbie Thumberlina
174 t,	@porky_xO ms handly maybe? when was that anyway?
175 t,	@breedimetria awwww the baby sick!!!  Good Morning!
176 t,	@AndrewTindall I actually feel sorry for you  good luck though! @Annaneko YAYZ! SWORD &gt;: 3
177 t,	hayfever time finally arrived. not cool!
178 t,	@tepachoy hahahah. i know right!!!! because of that one little girl, H1N1 is here...
179 t,	:O i lost one followerrrr!
180 t,	 orientation at 8 in the morning.  Fuck college!
181 t,	further proof that weathermen don't control the weather...  it's raining on my day off too - no golf for me    yet!
182 t,	@toxicanvas ME TOO bops...
183 t,	@beilabs That's a great show. hope they bring it back for another season at least. Looks doubtful though
184 t,	I'm so sick of being sick! I don't want to miss another summer
185 t,	kinda sad I'm not in Boston at LeakyCon right now
186 t,	@ashleigh92 aww baby  im just gonna go make some eggy bread, mmm, haha, i love you xxx
187 t,	Got woken up at 3 by my crazy dog Seth obsessing over a cat in the front yard. It's now almost 5... still can't fall back to sleep
188 t,	had a quick chat with the bro...gosh I miss him sooo much
189 t,	Anyone care to tell me how to win my case on Tuesday because I'm so totally going to lose.
190 t,	Workin 24 in Petersburg    .....txt  n  keep me company.....
191 t,	@stii yip, i know, i was kinda sad not to see kohana on that list.
192 t,	@foxybacon @mikasounds just read it, a random Marriage, OKAY   Lets hope she has curves in all the right places.
193 t,	Going to school... My worst nightmare
194 t,	just drank a full carafe of oj, now I feel like shit
195 t,	wants to get hugged!
196 t,	@TheBeerLady_ So sorry to here   pets are part of the family.
197 t,	i miss cuddling w/ B the most w/ going back to work (duh) yesterday it was only for 10 min before bed
198 t,	Minchin wise, fridays are the worst. I feel a littlf sick gaving to go in  .
199 t,	As of today, in the job three years. *hangs head in shame*
200 t,	why must love be so painful?
201 t,	tomorrow is gonna be exciting/tense, we (Falkirk) could get relegated
202 t,	I really wish I could wear flip flops to work. I don't wanna wear shoes
203 t,	My cat's paw is swollen loads and he's limping  I think he was stung by a bee or something, but anything could have happened tbh...
204 t,	@viaaubrey ahahaa! I hate when creepers try to follow me.  I've had the same girl try to follow me three times in like 2 days. sick
205 t,	..STILLL SAAD..MAAD..haven mixed emotions..  I REEAALLY dont wanna leave my pplz. I LOVEE YOU GUYS  &lt;3
206 t,	@MakenzieDawn thanks so much!! Sorry about the mishap!  hopefully things get better!
207 t,	just got caught in the rain walking back from asda, in my tshirt!
208 t,	@kissability sorry we didn't get to meet, but I do hope you're ok.
209 t,	On the way to school, ugh. Late.
210 t,	Struggling with my forward job plan - EDRMS bit is either one line or 3 and a half pages! Can't seem to get anywhere in the middle
211 t,	It will be windy each afternoon on the coast this wknd- great for kite-flying on the beach- not so great for crabbing/fishing- choppy
212 t,	Okay 10 more mins of rest b4 I have 2 put my contacts in. My eyelids still feel like its lined with sand paper
213 t,	Shit hits the fan! MD tries my number he got from outlook. Wrong one there. He lashes out at HR and IT. Everybody hates me now.
214 t,	#SaveEarl -&gt; Besides the comedic timing and scriptwriting is first rate. Don't banish me to &quot;My Name Is Earl&quot;re-runs
215 t,	may have to uninstall SQL2008  &amp; start again
216 t,	@xoVictoria ahhhh, i didn't realize what I had typed the first time until I looked at it again.  my bad
217 t,	Hate it when my kids are sick.  At least the big ones hit the bowl when they puke 2 year old, not so much
218 t,	Up all night with a sick kiddo  Hoping he'll have a quick recovery so he can enjoy the weekend!! Poor baby.
219 t,	@Paul_Barnard The silent treatment.
220 t,	Sigh...vacation is officially over
221 t,	i'm studying and i do not have time for anything more!
222 t,	I feel like shit and i really dont want to be at work right now
223 t,	WHATS WRONG W/MY LAPTOP???? Ima cry in a minute
224 t,	Crap, CBS cancelled Without A Trace !! No more Jack Malone
225 t,	Building new PC. Component manufacturers - thank you for making it so easy to install your products, I love a challenge
226 t,	@Kaiylie at least you don't have to spend it invigilating...
227 t,	@neurosceptic Oi! Mister! I had to unfollow you 'cause you were going mental with the suggestions. My laptop screen is only small
228 t,	@thegirlsilver Are they making you return the shopping ?
229 t,	@hisaming The  #Coktup started in the wrong time. End of sem and exam time. I got exams on 25th. And Dad wouldnt let me get out..
230 t,	Oooo.. Looks like we are in for a treat... MORE RAIN TODAY!!!
231 t,	has messed her day up already...stupid katelin
232 t,	ouch i injured myself on a baguette
233 t,	i keep reading 'T-Mobile Austria' thinking it says 'T-Mobile Australia'... so i am all like, damn
234 t,	@bryanboy Oops. So Sorry, I thought you were someone else. OMG... Major screw up. I hope you forgive, I am so sorry
235 t,	isn't very well
236 t,	Thinks lunchtime is over and has to go back to work.
237 t,	Fark, hope Gamble is ok
238 t,	Morning Tweethearts!!!!!  T.G.I.F!!!!!!!  What's on yall agenda????  Wish I was goin to Miami too....
239 t,	@Kateisgreat5285 I am lost. Please help me find a good home.
240 t,	Good night twitterverse. So tired tonight but had a gr8 time with my fiance Chris. At hm now and geez my dogs fluffs r off the charts
241 t,	Washing dishes by hand this morning since dishwasher is leaking. Have to wait until Wed. for repairs
242 t,	really sad that the best weather day of the weekend is today, and i will be stuck in the office
243 t,	TGIF !!!  It's 7am, is that too early for cocktails?
244 t,	&quot;maybe gini coefficients are too complicated for us?&quot; and I thought I was working for a science company
245 t,	really doesn't want to go to work.
246 t,	@a_biao It's a bit like Buckingham Palace - they do it for the tourists. ;-) Only the uniforms aren't as pretty
247 t,	I cant seem to come up with a name for my design company  any suggestions? If i pick it ill give you $20 lol
248 t,	@deanscotland Thanks Dean...oh even just seeing those words non-tweeting makes me sad!!  lol You have a good one too!
249 t,	forgot its bank holiday weekend - towns full of kids
250 t,	Done with the cells -planned for little work on Sat, Sun, &amp; Mon (holidays!), but will still have to come in.  Lunch now! no rain,plz!
251 t,	Nice &amp; sunny outside.. but VERY windy  Why is UU/HU campus always so windy??
252 t,	http://twitpic.com/5opwi - @iamellaa miss our nerdy ways already  i need to make your painting asap!
253 t,	@DavidLoxley u smell of pee!!!!! I can't have a bath or shower yet cuz mummy said she is cleaning them i feel dirty!!! me no likey  miss u
254 t,	@lyth  ill be at work tomorrow. but we can get peoples together for a meet if you want. check when we are all free and stuffs xD
255 t,	@ssmith190194 later ;) I have to clean the house :| I'm never going to get to study!
256 t,	I have the worst stiff neck  help me!!! Tell me what do to I have plans and can't have one now go away come back another day
257 t,	so I woke up to a terrible start  my Iphone is off! I guess somebody  found out it wasn't supposed to be on! It was fun while it lasted!
258 t,	Going to corp VPN so that's me offline
259 t,	@jamie_oliver Hi Jamie, what is this #JamiesTwitchen malarky, I'm new to Twitter?
260 t,	yaaas, i beleive mr twitter has come to his senses &amp; decided  to work! working tonightly, how shiiiiiite
261 t,	Ah, you know I really thought the weather might actually be good today but alas as usual it's RAINING.
262 t,	@Jimmy_Poodle Hey, Jimmy! What's Follow Friday? I couln't understand..
263 t,	no three day weekend for me
264 t,	school today, then aunt's. This week has gone by so slow
265 t,	My projector has died   Panasonic service centre here I come...
266 t,	...doesnï¿½t know what to do....little bit desperate
267 t,	brrrrr...it's wet and windy out there. why can't i come inside?
268 t,	not another rainy day...  that makes me sad!
269 t,	.@MyInnerJules yeah!!! she's in hospital  she's ok, but it's pretty fucken psycho that it actually happened
270 t,	@br3nn4... I get io early every day. What's that say about me?
271 t,	OMG I can't believe I'm gonna be soooo busy during the holidays. That tennis competition and choral speaking practices! Arrgghh! Noooo!!
272 t,	thinks its time for bed. Work tomorrow  xx
273 t,	Shit I really feel like getting the orange one!! But they do not have the small one
274 t,	6 months after sending a letter i just got back a signed autograph dedicated to mum from cliff richard... that kind of hit me hard...
275 t,	@theambershow  feel better soon. Stay hydrated.
276 t,	Up!  LOL packing... It's to early for the late night I had!
277 t,	 looks like im not going anywhere this summer! being poor sucks!
278 t,	All fixed. No worries. Just erased the extra half hour I was trying to give my self this morning for productivity.
279 t,	@heysoup I hope everything is okay!
280 t,	@weelula thought you might like that. no response though
281 t,	It's way too early and I'm out of school already
282 t,	was an hour and a half late for work! bored already and want to go home
283 t,	On my way for a root canal! Yay me
284 t,	deadlines wed. eugh I was in a rush for nooothing
285 t,	my zippers always down
286 t,	sitting in the corridor by lifts, top floor of hotel in Bremen, DE. only place wifi works! waiting for soundcheck at 5pm local. rain poss
287 t,	@bobbyllew all the people that caught my attention in 2005 have vanished from the top views/subs list. All corporate accounts now
288 t,	@shojoholic I don't have any  just a really bad pain in his side, thought it was appendicitis or kidney stones or something
289 t,	yikes i got stomachache
290 t,	Waiting in long a** security line at Austin airport
291 t,	@smellyocheese hiyoooo i also want to go.  to see the new MJ palette
292 t,	Have picked up a couple of viruses from Facebook- messages that say 'hi' are not friendly  go Norton go!
293 t,	I MAY CRY MY 6YR OLD IS COMPLETING HIS FIRST FULL YEAR OF SCHOOL,  IT IS BITTER SWEET FOR MOMMA
294 t,	@Jessee94 sorrry i didn't see ur reply! i was having a bad dayyy
295 t,	@lunchboxman I'm a BOF person
296 t,	OMG! charmed......is on tv, but in czech, oh fuck it.
297 t,	@julajulz shut up and driiiiiiiiive (sorry  I hope you find better days)
298 t,	Beat TOD w00t! Friday: getting ready for school. Got my xbox 360 back from M$. Eminems game still isn't on the app store yet, though
299 t,	@annabadtzmaru wow anna u have to calender us in just like andres tisk tiskkk!! lol jk im not sure if im going yet  u know why LOL
300 t,	@andrewpycroft I know!
301 t,	@LLLLLaura i actually tried to get a few byt they came out blurry
302 t,	at work in Kingston till about 6
303 t,	omg sew tired. DNW this test  I can't remember all these numbers!
304 t,	@J0sephus can't BELIEVE you're bailing them out. V dissapointed
305 t,	Ughh... Train -I always get stopped on the days I'm running late
306 t,	isPlayer Has Died! Sorry
307 t,	but im not in a very good mood now cause i was squashed like a sardine in the freakin' bus back home.
308 t,	@htoddcarter i knoww..  i'm soo scr*wd (am i allowed to say that here?)^^ St Patrick's cathedral is in Melbourne.. Any idea if it's lib?
309 t,	English class
310 t,	@cindymarshall haiii ciiiinnnn  aduh gw ga ngerti twitter niiii  ajarin dooong
311 t,	i'm missing out on cradle of filth right now
312 t,	No cheese burger as the pub's closed for refurb  .... Nando's instead ...
313 t,	Not being able to text my baby really really really really sucks giant balls
314 t,	damn, gotta wait till 8th June for its release!
315 t,	I'm sulking cos Adam didnt win American Idols     Nothing against Kris - he's good but guess Americans are too conservative for Adam
316 t,	@NiaBassett Ouch!  I got home from work at about half 1 this morn, got back in at tenish... and I moaned enough about that! lol x
317 t,	For some its Alcohol, for others it is gambling, still others it is illicit drugs...for me it is phones.
318 t,	Wonders why nobody is ever on AIM at 8 in the morning...  And by nobody, I actually mean the two people I talk to xD
319 t,	@annabates What's worrying you?
320 t,	@MissLoisme I am happy he is still smiling, it will be a sad day when Johnny Castle is no more
321 t,	@omgellani i know i just spoke to you... but you DIDNT writeback :|:|:|:|:|:| exxcuse meeeeeeeeee
322 t,	@Beez_ Shot in the paddock!
323 t,	@emilyawilliams  Man that sucks. I'm sorry.
324 t,	@ryanseacrest... why so quiet???? My home page isn't the same without 20,000 messages from you strewn throughout
325 t,	I would love to play hookie today, but if I don't work today, then I won't get paid for the day off on Monday   It's beautiful outside too
326 t,	lunch time over.... tweet laters
327 t,	@J0sephus Can't BELIEVE you're bailing them out. V Disappointed
328 t,	I can't believe this is the last day. I'm going to miss TMS   Bah. Mixed emotions.  MIIIIIIIIIIIIIXED EMOOOOOOTIONS. (gonna listen now XD)
329 t,	@LexiHudgens I can't change my background here in twitter o.o it's not working
330 t,	Going to math.  No service in there so no tweets for an hour. Ttyl
331 t,	About to leave the majesty of the seas  best vacation ever!!! Now to eufala! Life is rough
332 t,	My flat screen broken
333 t,	i've got the friday feeling!!!! but have work at 6am tomorrow
334 t,	esse meu sumiï¿½o do twitter me custou followers
335 t,	bank balance is awful.  piety and thrift till payday.
336 t,	im ill at home bored as hell  lol x
337 t,	@foxandfriends Its time to let them go &quot;Where we captured&quot; them and learn from the consequences.  We can't convict them sucsessfully!
338 t,	And now it's bright outside... Soo not fallin asleep
339 t,	I want my ticket for Steve Smith  Couriers take too damn long
340 t,	haay...im watching **** vids...which makes me...look like this
341 t,	@am13er that's sad  casey was sayin the same thing. I didn't notice til you guys said it
342 t,	@heloloser aww.  i'm greatt thanks. been up to much?
343 t,	@xthemusic We were worried about your disappearance
344 t,	twitter is still the ONLY thing that the internet is fully loading. No facebook or DA messages.  Still hurting... my body hurrrtts T_T
345 t,	Check out the new Team Fortress 2 Update. It's really awesome and adds so much depth to the game. Sadly i have a bad ping with UMTS
346 t,	Oh damn. Now it's raining  Where is the sun??
347 t,	@craigyd afraid im heading back to Dorset for my lil sisters birthday  when u going next week?? am totally up for it!
348 t,	using twitter
349 t,	laying in bed bored, tired as all heck and cant sleep
350 t,	Last gold day... Except for 5th period i loved gold days
351 t,	Ugh...up at 5am.  Hate west to east coast flights.  Leave at 7:30, arrive in Birmingham at 5pm
352 t,	@JohnAnstey true enough
353 t,	WHY WON'T RAGNHILD ANSWER ME?!
354 t,	last nite the 7 year old girl i was looking after said she thinks she's fat (she isn't in the slightest).  god that's depressing
355 t,	@ellienewby Daz is meant to be comin to see me sat or sun, he sick of me naggin lolz but i jus want us to sort this mess out
356 t,	Ground beef recall is sad. The truth in front of us that eating meat is wrong- but they'll blame the beef company than handle the truth
357 t,	Iï¿½m having a blond moment!! Help!
358 t,	@morpheas7887 No.. they have 500 outgoing email rule (500 per hour).. and I broke there rule unknowingly  Expecting forgiveness
359 t,	@xo_kay  I know Mickey Rocked
360 t,	My cat's paw is swollen loads and he's limping  I think he was stung by a bee or something, but anything could have happened tbh...
361 t,	Board games tonight! I was unable to procure a copy of Grave Robbers from Outer Space in time. Failure.
362 t,	@joonian no spice for me. That kinda thing activates IBS for me  a world of mild food, does well.
363 t,	so tired... I hate my neighbours
364 t,	@Harkenback Ok, thank you for letting me know much appreciated  the originals just seem to have dramaticly increased in price lately
365 t,	Please pray for my grandpa's recovery.Someone told me that he is in critical condition right now. Please, we need your prayers!
366 t,	uh, woke up with cramps. that was unexpected. hip flexors are super sore. not sure if this run is going to happen...
367 t,	lunch on my own again  not used to this
368 t,	Allergies are making me absolutely miserable
369 t,	Losing track of days! Slight complication w/my csection plus blood pressure skyrocketed since delivery.. Have to see doc on a daily basis
370 t,	Man. Doing business reports sucks. And I canï¿½t find the Dilbert Mission Report Generator anywhere.
371 t,	Busiest day/afternoon ever... went to hospital, a cafe, shopping, and home... and no i didn't make it to the hairdresser
372 t,	At least I don't have to work until late tonight...Friday's are a pain.
373 t,	WHY IS MY LIFE SO BORING.................. WAIT I DON'T EVEN HAV A LIFE
374 t,	planning on how to spend the last two weeks of my vacation..i don't want the next semester to start yet.  haha.
375 t,	@turnitgrey Aw  I love Carl, I'd say I'm jealous buuuut that is a little bit embarrassing hahaha
376 t,	@suareasy dude u srs? I'm coming from ldn and the weather was fab there
377 t,	@TaliyAllTimeLow acting stupid  hahahah i asked you and you just laughed, so, i left it at that!, hahah
378 t,	@tardigrada its really good on co-op its a shame @jonfire doesn't have xbox live..
379 t,	Yes, yes, YES!!! Still in New York and just received my pay check &amp; holiday pay! Too bad it's our last day
380 t,	Up and at 'em. Did not sleep well   It looks like a great day. Careful dropping trees.
381 t,	Just got back from my early workout. now getting ready for service. still sleepy weather
382 t,	Paranoid! #20  Still on the count down though! YOU BETTER KEEP VOTING! PLEASE! http://www.929.com.au/shows/hot30/vote
383 t,	@ChristineCx but kol are playing canada... on your birthday
384 t,	Final year project meetings ftw. Labs closing so the freshers can get examined ftl
385 t,	@MissPrecious2 thats what i wanted too... i dont have anymore  only turkey sausage and i didnt want that.
386 t,	OK so i wasnt bothered about Beyonce tickets before but now i want to go  lol
387 t,	Still undecided what to do for my birthday. Paris or London? Londons easier to get to but, it's Paris... No doubt I'll end up in Reading
388 t,	Kathy &amp; Sarah are taking train to Philly. I have an interview at 1500 in Chantilly. Driving today
389 t,	@eddieshealth has a malignant lump. He's booked into the vet for Thursday next week
390 t,	@kyra03 I'm going to my nephews graduation
